['821', '371', '130', '491', '302', '999', '797', '535', '434', '907', '329', '693', '16', '800', '344', '28', '911', '578', '374', '637']
['781', '786', '57', '41', '739', '373', '948', '733', '550', '35', '325', '417', '126', '404', '634', '356', '731', '590', '246', '827']
['577', '73', '127', '296', '393', '102', '981', '56', '348', '931', '620', '163', '111', '154', '895', '318', '754', '433', '908', '798']
['230', '415', '390', '593', '926', '680', '702', '418', '587', '31', '375', '985', '700', '639', '768', '667', '461', '588', '484', '743']
['117', '709', '842', '638', '762', '505', '120', '973', '235', '913', '502', '136', '682', '7', '423', '716', '4', '938', '89', '345']
['200', '77', '249', '110', '954', '805', '297', '597', '635', '609', '713', '829', '866', '453', '88', '924', '766', '252', '809', '707']
['223', '834', '966', '933', '320', '262', '831', '283', '899', '3', '32', '131', '162', '76', '576', '301', '128', '885', '833', '387']
['686', '281', '945', '537', '254', '963', '184', '818', '354', '567', '619', '394', '742', '499', '204', '385', '424', '95', '796', '687']
['612', '290', '228', '556', '239', '570', '729', '623', '517', '660', '735', '704', '761', '407', '448', '955', '285', '486', '396', '844']
['392', '87', '815', '12', '974', '659', '177', '416', '503', '568', '323', '718', '495', '427', '940', '295', '485', '621', '244', '19']
['165', '469', '778', '412', '15', '251', '501', '74', '368', '133', '611', '286', '584', '338', '507', '674', '848', '496', '129', '855']
['841', '275', '632', '595', '435', '408', '886', '479', '740', '896', '679', '794', '563', '321', '119', '788', '37', '132', '406', '386']
['147', '18', '288', '176', '980', '970', '291', '760', '548', '586', '91', '335', '511', '990', '630', '769', '849', '943', '993', '752']
['812', '880', '919', '898', '319', '263', '538', '190', '779', '279', '826', '451', '468', '979', '274', '178', '839', '261', '758', '697']
['949', '62', '389', '8', '359', '975', '426', '524', '172', '196', '257', '215', '930', '380', '720', '728', '533', '564', '40', '160']
['838', '92', '917', '153', '656', '65', '487', '725', '72', '542', '49', '180', '260', '977', '504', '606', '610', '337', '465', '608']
['776', '721', '195', '581', '414', '300', '106', '187', '655', '189', '544', '749', '539', '44', '158', '327', '314', '738', '554', '54']
['306', '772', '82', '782', '365', '471', '918', '695', '278', '138', '304', '399', '78', '81', '273', '525', '69', '790', '43', '967']
['884', '845', '450', '536', '819', '473', '248', '582', '987', '441', '240', '701', '705', '905', '996', '622', '121', '99', '355', '616']
['413', '601', '141', '650', '33', '649', '24', '592', '107', '843', '334', '156', '883', '480', '457', '603', '71', '476', '888', '951']
['534', '219', '989', '665', '901', '956', '444', '114', '684', '311', '737', '641', '867', '224', '144', '825', '571', '400', '428', '112']
['48', '378', '159', '313', '265', '425', '64', '299', '271', '213', '858', '463', '957', '903', '124', '462', '631', '916', '575', '813']
['366', '293', '349', '500', '661', '464', '326', '574', '13', '382', '478', '745', '310', '757', '445', '840', '340', '52', '86', '245']
['528', '100', '942', '150', '475', '229', '988', '944', '530', '294', '405', '39', '562', '572', '897', '161', '889', '856', '105', '676']
['515', '816', '774', '438', '232', '862', '672', '381', '775', '284', '350', '929', '663', '20', '865', '992', '96', '710', '823', '508']
['585', '242', '580', '664', '643', '307', '241', '492', '802', '55', '199', '145', '787', '253', '173', '551', '84', '376', '602', '61']
['703', '599', '946', '651', '925', '804', '801', '439', '923', '767', '9', '624', '822', '961', '791', '272', '167', '276', '383', '904']
['258', '221', '58', '322', '927', '377', '671', '410', '210', '431', '2', '449', '876', '877', '83', '543', '726', '719', '529', '372']
['673', '879', '342', '115', '785', '557', '532', '409', '692', '892', '343', '936', '871', '513', '747', '870', '523', '545', '157', '811']
['289', '560', '186', '646', '960', '191', '784', '494', '952', '60', '894', '164', '995', '152', '459', '481', '243', '748', '341', '668']
['419', '750', '212', '958', '647', '982', '773', '605', '317', '514', '732', '636', '625', '312', '909', '934', '22', '600', '683', '208']
['225', '583', '282', '846', '793', '134', '218', '379', '250', '454', '90', '763', '558', '397', '17', '188', '336', '440', '458', '698']
