['678', '799', '856', '343', '149', '356', '280', '609', '276', '108', '43', '899', '66', '554', '815', '690', '929', '542', '932', '135', '243', '778', '281', '926', '6', '183', '855', '462', '212', '333', '830', '526', '847', '718', '64', '69', '215', '346', '883', '61', '572', '173', '502', '546', '538', '110', '973', '123', '456', '409']
['904', '958', '337', '379', '685', '389', '72', '314', '342', '297', '991', '891', '927', '750', '569', '187', '31', '920', '977', '707', '838', '292', '277', '588', '870', '403', '150', '380', '351', '274', '642', '762', '327', '771', '264', '57', '279', '792', '391', '99', '390', '647', '584', '912', '405', '634', '295', '440', '789', '928']
['208', '765', '767', '591', '229', '938', '914', '89', '290', '209', '487', '419', '782', '684', '459', '669', '399', '167', '226', '117', '517', '658', '86', '107', '349', '435', '197', '636', '933', '88', '840', '386', '534', '495', '909', '733', '285', '819', '393', '447', '903', '814', '817', '964', '204', '592', '625', '755', '659', '675']
['175', '980', '371', '265', '129', '353', '532', '372', '146', '181', '315', '811', '971', '544', '530', '715', '834', '940', '20', '579', '821', '705', '329', '700', '604', '13', '138', '976', '709', '70', '826', '1', '820', '610', '596', '444', '851', '481', '708', '106', '906', '833', '979', '321', '160', '813', '687', '952', '966', '775']
['729', '656', '0', '303', '15', '800', '241', '218', '620', '850', '581', '503', '598', '97', '189', '779', '845', '453', '902', '256', '286', '330', '829', '30', '94', '878', '347', '385', '672', '959', '934', '424', '761', '63', '249', '140', '152', '428', '911', '601', '763', '310', '26', '373', '613', '272', '284', '335', '595', '7']
['49', '457', '125', '54', '25', '566', '550', '650', '627', '560', '148', '597', '975', '864', '426', '432', '744', '541', '153', '728', '421', '662', '586', '83', '370', '262', '999', '232', '269', '721', '332', '849', '19', '698', '312', '897', '484', '200', '80', '498', '997', '159', '653', '331', '922', '892', '282', '266', '936', '340']
['32', '631', '119', '989', '559', '696', '537', '47', '474', '803', '406', '953', '585', '12', '587', '446', '29', '576', '360', '655', '458', '797', '482', '760', '497', '193', '179', '169', '818', '556', '871', '511', '575', '16', '590', '514', '392', '664', '893', '473', '185', '645', '807', '602', '558', '37', '646', '512', '942', '449']
['324', '917', '382', '490', '93', '307', '562', '190', '131', '506', '401', '416', '950', '261', '886', '308', '635', '460', '869', '203', '881', '930', '555', '79', '758', '617', '887', '10', '325', '828', '713', '652', '271', '863', '679', '377', '582', '448', '756', '996', '143', '809', '624', '736', '535', '246', '877', '641', '365', '791']
['299', '521', '407', '753', '296', '676', '5', '868', '781', '772', '78', '866', '223', '649', '130', '531', '154', '24', '350', '186', '161', '414', '184', '632', '492', '734', '759', '268', '962', '984', '518', '992', '283', '2', '202', '375', '839', '505', '90', '121', '171', '163', '191', '430', '441', '17', '480', '309', '988', '923']
['944', '313', '489', '317', '320', '113', '704', '895', '533', '640', '710', '670', '178', '128', '731', '73', '151', '639', '861', '157', '743', '263', '59', '9', '785', '747', '227', '411', '549', '488', '872', '211', '236', '358', '199', '837', '92', '81', '345', '139', '213', '418', '616', '621', '603', '238', '239', '443', '787', '132']
['18', '91', '101', '112', '436', '486', '109', '145', '941', '628', '182', '915', '395', '34', '706', '420', '368', '583', '470', '348', '82', '508', '806', '865', '245', '794', '201', '427', '593', '22', '611', '741', '174', '402', '784', '600', '398', '786', '513', '240', '36', '396', '536', '361', '519', '28', '466', '62', '294', '699']
['127', '118', '667', '740', '431', '766', '84', '53', '105', '896', '671', '355', '643', '134', '824', '577', '114', '11', '75', '510', '612', '4', '606', '166', '663', '500', '946', '170', '859', '98', '142', '615', '442', '194', '522', '605', '677', '694', '812', '45', '136', '956', '524', '711', '876', '478', '660', '258', '475', '742']
['198', '288', '857', '985', '757', '578', '496', '8', '244', '780', '552', '195', '417', '637', '397', '429', '363', '176', '126', '858', '289', '278', '210', '71', '33', '668', '52', '507', '319', '124', '622', '822', '242', '908', '564', '328', '900', '716', '287', '842', '48', '477', '255', '529', '712', '50', '225', '408', '854', '257']
['796', '573', '937', '41', '527', '714', '695', '381', '103', '748', '816', '472', '250', '543', '873', '27', '688', '823', '681', '567', '916', '618', '907', '220', '162', '222', '311', '374', '412', '957', '885', '207', '867', '304', '931', '116', '23', '783', '701', '467', '352', '42', '366', '832', '205', '515', '96', '918', '726', '874']
['905', '58', '674', '795', '111', '270', '422', '825', '104', '661', '571', '302', '889', '993', '561', '306', '483', '810', '657', '725', '39', '773', '367', '788', '808', '969', '60', '254', '316', '955', '357', '155', '770', '978', '95', '939', '51', '804', '68', '898', '452', '494', '723', '133', '172', '951', '237', '570', '144', '739']
['334', '463', '164', '233', '682', '954', '982', '491', '230', '746', '998', '619', '852', '253', '919', '523', '894', '774', '843', '413', '305', '995', '336', '599', '461', '471', '221', '793', '724', '378', '14', '267', '252', '76', '188', '717', '720', '680', '961', '835', '963', '501', '551', '880', '769', '689', '216', '479', '141', '217']
['387', '434', '301', '738', '400', '344', '563', '122', '44', '790', '369', '947', '589', '693', '974', '235', '994', '722', '702', '433', '630', '853', '520', '545', '165', '410', '557', '74', '987', '548', '981', '341', '65', '654', '499', '115', '465', '547', '691', '439', '719', '234', '968', '437', '666', '626', '228', '607', '384', '776']
['158', '960', '3', '777', '394', '882', '925', '300', '862', '376', '87', '623', '751', '683', '697', '972', '454', '504', '322', '364', '100', '423', '732', '568', '827', '318', '948', '730', '21', '525', '509', '219', '455', '644', '970', '841', '651', '802', '565', '362', '67', '875', '231', '450', '354', '580', '629', '967', '888', '275']
['860', '425', '38', '768', '831', '248', '848', '192', '464', '673', '214', '614', '168', '404', '177', '945', '451', '438', '949', '383', '46', '293', '990', '749', '468', '594', '703', '137', '338', '102', '986', '801', '476', '737', '692', '323', '40', '260', '273', '921', '913', '638', '965', '56', '415', '910', '528', '224', '291', '445']
['539', '901', '540', '943', '259', '359', '469', '752', '85', '798', '553', '686', '924', '844', '935', '247', '764', '196', '735', '485', '180', '120', '251', '574', '608', '633', '665', '339', '516', '727', '493', '983', '388', '298', '836', '890', '55', '147', '879', '805', '745', '77', '156', '648', '206', '326', '846', '884', '754']
['35']
