['956', '155', '833', '23', '737', '700', '584', '138', '56', '872', '240', '14', '487', '681', '771', '680', '528', '282', '66', '800', '169', '855', '170', '460', '21', '530', '691', '109', '597', '920', '461', '174']
['863', '609', '78', '98', '320', '339', '95', '301', '945', '431', '94', '5', '596', '625', '886', '494', '307', '607', '875', '107', '552', '252', '195', '640', '70', '142', '211', '727', '928', '537', '797', '292']
['356', '627', '517', '940', '338', '91', '465', '882', '397', '145', '164', '831', '100', '571', '837', '172', '84', '115', '847', '726', '295', '668', '575', '502', '234', '204', '745', '419', '269', '563', '706', '938']
['556', '337', '112', '439', '53', '25', '127', '459', '696', '177', '264', '122', '4', '896', '391', '390', '110', '424', '958', '501', '381', '603', '226', '904', '894', '223', '203', '412', '582', '99', '672', '321']
['841', '586', '924', '716', '795', '783', '755', '298', '6', '255', '400', '65', '838', '379', '877', '247', '359', '230', '416', '254', '484', '36', '718', '884', '192', '907', '347', '613', '201', '677', '663', '232']
['761', '585', '248', '765', '384', '955', '277', '702', '703', '746', '548', '173', '832', '15', '917', '542', '483', '330', '788', '405', '79', '506', '237', '46', '770', '587', '618', '239', '709', '153', '442', '402']
['210', '598', '57', '212', '753', '246', '245', '128', '209', '503', '208', '915', '932', '897', '555', '564', '697', '868', '344', '536', '382', '383', '228', '496', '892', '191', '414', '666', '939', '279', '479', '616']
['97', '409', '604', '268', '622', '393', '685', '711', '525', '200', '655', '259', '913', '558', '271', '840', '40', '157', '117', '829', '108', '317', '297', '83', '820', '645', '471', '224', '60', '599', '511', '816']
['463', '576', '334', '33', '451', '229', '520', '433', '743', '293', '285', '689', '406', '129', '759', '493', '481', '684', '793', '949', '565', '739', '941', '635', '318', '399', '428', '368', '87', '364', '648', '39']
['888', '58', '342', '221', '796', '754', '136', '912', '165', '231', '137', '403', '545', '601', '807', '45', '803', '919', '171', '867', '267', '619', '630', '850', '182', '437', '787', '656', '812', '113', '785', '96']
['729', '849', '276', '828', '450', '659', '32', '815', '712', '76', '876', '674', '124', '644', '420', '692', '118', '814', '643', '610', '300', '389', '507', '133', '349', '296', '220', '425', '500', '851', '73', '733']
['676', '270', '104', '559', '89', '85', '467', '8', '675', '365', '580', '158', '768', '444', '874', '891', '775', '146', '62', '312', '348', '614', '686', '283', '385', '811', '952', '61', '10', '448', '561', '772']
['495', '953', '160', '93', '114', '522', '360', '910', '388', '326', '757', '514', '611', '106', '415', '346', '323', '324', '595', '553', '179', '476', '207', '215', '642', '261', '7', '20', '567', '304', '434', '64']
['294', '291', '862', '857', '641', '946', '429', '724', '363', '352', '372', '534', '225', '407', '167', '343', '705', '615', '478', '166', '961', '187', '497', '116', '893', '401', '742', '516', '728', '752', '512', '678']
['569', '449', '150', '544', '28', '808', '825', '629', '869', '132', '74', '590', '373', '519', '168', '54', '492', '830', '763', '386', '878', '395', '319', '387', '930', '588', '540', '101', '474', '335', '639', '120']
['371', '18', '181', '455', '141', '303', '671', '823', '454', '130', '810', '510', '253', '126', '358', '792', '827', '817', '17', '513', '488', '430', '480', '937', '238', '898', '942', '243', '633', '637', '16', '284']
['719', '943', '935', '80', '176', '366', '288', '669', '657', '736', '48', '376', '315', '947', '257', '651', '90', '790', '328', '725', '948', '722', '427', '353', '554', '477', '649', '222', '658', '887', '813', '621']
['842', '568', '608', '767', '485', '652', '782', '331', '960', '605', '748', '92', '486', '217', '63', '914', '873', '551', '720', '794', '206', '854', '458', '44', '683', '509', '151', '856', '468', '566', '547', '278']
['185', '583', '281', '332', '394', '489', '453', '392', '156', '286', '423', '747', '219', '436', '880', '758', '72', '2', '631', '152', '357', '469', '134', '535', '68', '266', '378', '377', '41', '216', '380', '756']
