['784', '103', '973', '489', '275', '586', '173', '793', '675', '76', '872', '102', '986', '805', '936', '452', '767', '210', '704', '627']
['267', '129', '515', '446', '39', '493', '719', '601', '518', '60', '822', '834', '912', '660', '335', '852', '608', '851', '213', '24']
['350', '565', '648', '224', '999', '516', '903', '692', '260', '550', '271', '238', '449', '640', '619', '961', '604', '753', '426', '804']
['259', '959', '966', '857', '383', '867', '19', '297', '844', '575', '647', '403', '673', '331', '167', '284', '862', '25', '4', '466']
['967', '946', '598', '947', '738', '485', '151', '876', '115', '774', '91', '325', '779', '108', '221', '239', '556', '861', '765', '159']
['785', '79', '864', '85', '377', '652', '842', '283', '401', '689', '969', '208', '407', '925', '691', '735', '934', '541', '211', '845']
['218', '568', '941', '803', '528', '614', '460', '1', '942', '54', '136', '490', '543', '982', '307', '477', '877', '816', '911', '116']
['48', '655', '811', '740', '404', '928', '90', '637', '332', '365', '118', '581', '856', '990', '147', '392', '464', '666', '768', '808']
['723', '481', '724', '396', '199', '760', '305', '545', '664', '339', '615', '688', '788', '497', '585', '945', '114', '33', '457', '36']
['249', '846', '45', '234', '262', '3', '29', '639', '342', '860', '385', '676', '531', '16', '347', '817', '900', '674', '752', '882']
['104', '812', '960', '511', '662', '390', '265', '436', '488', '398', '893', '144', '83', '214', '320', '378', '478', '663', '374', '715']
['322', '806', '375', '769', '298', '853', '979', '505', '327', '847', '964', '319', '818', '889', '626', '610', '190', '474', '569', '467']
['654', '451', '622', '791', '73', '369', '274', '763', '728', '163', '7', '525', '905', '695', '473', '495', '364', '646', '248', '873']
['612', '480', '470', '670', '589', '328', '87', '438', '6', '659', '198', '443', '547', '843', '343', '885', '252', '591', '100', '61']
['143', '502', '433', '225', '729', '414', '152', '10', '106', '759', '579', '310', '78', '447', '962', '699', '712', '930', '318', '86']
['837', '758', '250', '534', '345', '953', '261', '697', '671', '992', '908', '607', '272', '269', '172', '49', '454', '711', '203', '618']
['916', '567', '630', '868', '597', '984', '431', '22', '773', '667', '836', '713', '944', '64', '110', '807', '18', '113', '27', '661']
['898', '123', '921', '835', '750', '441', '66', '580', '824', '465', '427', '264', '72', '168', '119', '255', '968', '257', '445', '915']
['578', '71', '394', '246', '510', '593', '922', '175', '829', '67', '775', '954', '621', '130', '381', '948', '901', '572', '308', '865']
['582', '747', '902', '875', '28', '687', '633', '802', '13', '304', '182', '413', '952', '513', '932', '500', '344', '368', '145', '562']
['657', '499', '351', '714', '483', '776', '988', '682', '53', '995', '200', '909', '183', '124', '309', '527', '456', '323', '155', '745']
['273', '55', '680', '679', '354', '157', '821', '611', '127', '14', '508', '204', '57', '998', '142', '927', '68', '913', '820', '665']
['616', '149', '884', '393', '940', '341', '542', '186', '101', '281', '894', '74', '855', '810', '192', '771', '169', '923', '501', '450']
['825', '444', '643', '357', '227', '705', '613', '423', '886', '839', '696', '863', '645', '669', '131', '726', '783', '720', '11', '559']
['624', '107', '43', '303', '41', '552', '313', '602', '958', '991', '583', '164', '566', '229', '963', '684', '251', '651', '929', '42']
['681', '796', '207', '379', '329', '672', '588', '974', '295', '484', '538', '428', '748', '786', '425', '20', '564', '700', '448', '780']
['330', '482', '736', '976', '243', '286', '573', '51', '424', '154', '896', '471', '35', '26', '440', '629', '778', '418', '678', '158']
['188', '430', '519', '494', '88', '989', '56', '881', '560', '349', '363', '879', '717', '411', '258', '247', '537', '121', '109', '280']
['741', '206', '38', '926', '914', '685', '282', '987', '59', '910', '584', '792', '620', '558', '827', '195', '382', '117', '462', '306']
['201', '219', '174', '420', '595', '557', '340', '112', '395', '46', '577', '770', '553', '62', '171', '698', '907', '176', '337', '361']
['897', '544', '384', '734', '935', '686', '333', '722', '437', '731', '459', '649', '592', '336', '352', '386', '521', '302', '242', '226']
['197', '823', '656', '410', '31', '96', '215', '854', '439', '794', '314', '756', '517', '315', '177', '434', '623', '463', '892', '254']
['994', '702', '683', '650', '133', '530', '415', '732', '228', '387', '789', '278', '277', '290', '312', '939', '92', '69', '874', '458']
['371', '362', '609', '617', '520', '222', '321', '70', '790', '212', '975', '603', '160', '120', '751', '512', '540', '52', '551', '539']
['293', '546', '135', '739', '132', '707', '316', '486', '9', '972', '899', '668', '170', '838', '523', '832', '111', '455', '89', '148']
['317', '554', '296', '202', '574', '917', '919', '156', '205', '77', '997', '405', '236', '432', '555', '44', '797', '549', '950', '631']
['632', '532', '777', '217', '128', '256', '99', '241', '235', '32', '653', '754', '727', '399', '417', '880', '709', '245', '311', '326']
['636', '0', '764', '787', '529', '781', '37', '23', '599', '301', '904', '828', '594', '710', '346', '253', '166', '178', '744', '165']
['468', '504', '514', '606', '809', '94', '871', '625', '30', '725', '883', '372', '181', '849', '146', '47', '858', '15', '693', '826']
['82', '815', '918', '150', '536', '977', '996', '716', '795', '509', '194', '496', '268', '419', '971', '81', '933', '965', '635', '800']
['737', '216', '84', '469', '870', '938', '348', '920', '850', '359', '943', '708', '50', '17', '98', '906', '891', '95', '276', '761']
['475', '506', '5', '285', '866', '799', '294', '230', '644', '292', '162', '848', '743', '367', '263', '125', '220', '978', '189', '878']
['138', '232', '80', '895', '196', '180', '721', '476', '746', '937', '223', '409', '397', '642', '718', '231', '370', '507', '288', '93']
['492', '185', '366', '522', '576', '140', '406', '524', '244', '187', '376', '287', '422', '355', '153', '548', '701', '266', '105', '641']
['638', '596', '139', '388', '360', '730', '526', '831', '924', '772', '703', '291', '461', '949', '782', '12', '487', '981', '587', '338']
['270', '931', '137', '65', '233', '887', '955', '373', '841', '179', '389', '391', '126', '690', '694', '503', '733', '40', '491', '819']
['63', '980', '134', '141', '766', '237', '435', '749', '571', '762', '191', '634', '590', '299', '240', '742', '535', '888', '498', '533']
['289', '970', '453', '193', '184', '356', '161', '21', '563', '957', '421', '75', '408', '813', '706', '985', '605', '983', '472', '833']
['8', '628', '798', '757', '300', '814', '358', '412', '600', '429', '840', '279', '2', '677', '380', '442', '334', '951', '209', '570']
['859', '993', '890', '353', '122', '755', '956', '561', '400', '34', '97', '402', '416', '869', '479', '58', '658', '830', '324', '801']
