['669', '468', '696', '31', '144', '128', '404']
['568', '566', '464', '118', '670', '654', '515']
['243', '229', '479', '441', '609', '606', '363']
['450', '388', '386', '302', '63', '595', '531']
['237', '489', '189', '265', '43', '675', '131']
['112', '656', '223', '245', '571', '65', '407']
['390', '326', '478', '64', '123', '514', '281']
['648', '417', '346', '632', '254', '10', '46']
['70', '334', '87', '74', '37', '145', '100']
['521', '576', '217', '328', '96', '430', '157']
['593', '562', '107', '4', '564', '203', '377']
['426', '662', '101', '122', '142', '180', '99']
['466', '372', '507', '381', '465', '376', '280']
['510', '241', '59', '547', '134', '389', '109']
['488', '26', '38', '92', '620', '235', '544']
['266', '655', '1', '634', '52', '335', '403']
['518', '551', '349', '58', '75', '121', '594']
['351', '462', '651', '519', '193', '174', '30']
['282', '366', '51', '529', '308', '187', '475']
['449', '416', '240', '306', '604', '289', '221']
['149', '644', '190', '272', '370', '199', '90']
['698', '9', '213', '424', '556', '621', '474']
['369', '132', '311', '559', '15', '207', '344']
['552', '406', '284', '610', '103', '438', '664']
['17', '171', '395', '375', '543', '413', '623']
['257', '270', '460', '340', '684', '301', '446']
['502', '435', '600', '175', '391', '252', '565']
['69', '238', '614', '535', '97', '50', '428']
['631', '681', '678', '504', '585', '332', '517']
['440', '167', '405', '16', '41', '679', '689']
['21', '356', '352', '276', '658', '666', '615']
['582', '76', '236', '397', '108', '228', '62']
['418', '287', '401', '82', '528', '2', '126']
['6', '358', '447', '549', '522', '89', '353']
['135', '509', '682', '117', '88', '47', '312']
['498', '146', '454', '137', '442', '279', '463']
['622', '570', '196', '67', '516', '635', '361']
['84', '360', '323', '373', '587', '540', '686']
['629', '596', '3', '141', '618', '379', '267']
['639', '429', '584', '496', '336', '162', '586']
['456', '538', '347', '225', '242', '443', '271']
['33', '259', '24', '95', '526', '608', '176']
['49', '602', '524', '56', '597', '274', '239']
['5', '192', '327', '392', '224', '599', '414']
['525', '247', '216', '545', '277', '400', '212']
['249', '164', '273', '79', '292', '420', '412']
['139', '310', '365', '166', '260', '83', '208']
['687', '0', '402', '492', '699', '104', '105']
['695', '553', '119', '91', '625', '677', '470']
['290', '590', '490', '676', '151', '476', '512']
['68', '539', '258', '234', '546', '263', '472']
['60', '303', '659', '653', '697', '222', '419']
['194', '85', '591', '253', '98', '427', '563']
['650', '694', '592', '607', '28', '204', '261']
['138', '484', '348', '169', '630', '153', '342']
['422', '178', '140', '42', '81', '66', '527']
['431', '633', '501', '23', '683', '383', '640']
['148', '215', '201', '156', '307', '387', '393']
['451', '605', '211', '598', '409', '616', '345']
['455', '314', '505', '77', '532', '330', '160']
['7', '354', '136', '575', '285', '452', '304']
['8', '619', '434', '22', '246', '48', '577']
['255', '130', '133', '220', '688', '202', '72']
['477', '214', '542', '574', '111', '513', '469']
['29', '106', '205', '355', '480', '626', '102']
['40', '319', '567', '338', '560', '439', '652']
['453', '291', '444', '558', '12', '315', '497']
['173', '152', '36', '13', '506', '367', '233']
['624', '437', '537', '423', '500', '147', '198']
['182', '337', '320', '433', '485', '288', '371']
['209', '520', '692', '172', '665', '579', '362']
['218', '283', '188', '680', '329', '294', '165']
['364', '548', '125', '110', '674', '299', '11']
['459', '580', '421', '333', '318', '200', '32']
['197', '408', '341', '61', '86', '324', '583']
['251', '94', '34', '262', '530', '179', '494']
['628', '603', '483', '57', '186', '25', '378']
['534', '569', '508', '275', '385', '232', '286']
['487', '671', '649', '555', '309', '71', '181']
['495', '536', '55', '206', '155', '523', '350']
['268', '493', '316', '124', '210', '185', '269']
['129', '300', '601', '231', '425', '641', '398']
['93', '642', '690', '645', '410', '54', '673']
['617', '473', '163', '646', '667', '313', '120']
['693', '359', '19', '183', '636', '541', '244']
['264', '154', '159', '660', '467', '321', '691']
['511', '168', '612', '499', '73', '158', '491']
['14', '331', '638', '177', '20', '78', '298']
['589', '380', '461', '170', '481', '116', '657']
['250', '305', '374', '295', '415', '663', '322']
['44', '53', '533', '230', '581', '661', '115']
['482', '161', '458', '647', '382', '248', '448']
['643', '127', '80', '557', '191', '150', '672']
['613', '561', '113', '296', '503', '588', '357']
['627', '39', '325', '256', '343', '143', '195']
['219', '45', '572', '411', '685', '573', '550']
['339', '18', '399', '297', '226', '457', '368']
['394', '436', '432', '637', '471', '554', '384']
['35', '184', '668', '611', '317', '27', '445']
['278', '396', '486', '114', '293', '227', '578']
