['282', '92', '551', '621', '120', '427', '466', '986', '264', '55', '719', '773', '453', '44', '83', '713', '946', '35', '67', '491', '623', '323', '236', '478', '758', '607', '40', '530', '791', '540', '423', '587', '78', '594', '369', '850', '605', '332', '806', '612', '289', '481', '648', '542', '732', '947', '563', '672', '472', '883']
['799', '435', '810', '400', '192', '306', '735', '512', '812', '550', '347', '524', '624', '506', '297', '39', '906', '316', '345', '618', '234', '807', '703', '220', '337', '614', '659', '72', '670', '644', '313', '288', '395', '193', '785', '578', '440', '868', '686', '888', '140', '235', '146', '475', '688', '897', '742', '222', '983', '4']
['783', '11', '206', '272', '484', '782', '877', '87', '528', '708', '846', '414', '611', '487', '293', '927', '271', '577', '856', '741', '830', '195', '439', '405', '834', '243', '384', '532', '351', '544', '627', '557', '335', '118', '286', '152', '591', '168', '656', '156', '380', '10', '666', '602', '680', '910', '80', '534', '657', '360']
['824', '671', '53', '828', '973', '762', '157', '808', '932', '99', '201', '262', '600', '597', '803', '911', '111', '25', '664', '52', '463', '795', '93', '47', '30', '295', '924', '175', '95', '176', '995', '955', '992', '268', '240', '189', '556', '194', '389', '781', '738', '56', '320', '204', '379', '239', '954', '988', '103', '739']
['881', '625', '876', '891', '658', '497', '921', '27', '604', '486', '996', '903', '226', '447', '58', '383', '212', '191', '585', '503', '673', '653', '918', '339', '145', '328', '391', '278', '937', '468', '525', '444', '228', '519', '14', '637', '991', '798', '46', '375', '301', '333', '216', '210', '424', '831', '565', '421', '904', '203']
['737', '546', '102', '361', '21', '73', '792', '275', '749', '962', '902', '750', '462', '726', '164', '482', '930', '581', '319', '716', '269', '88', '38', '214', '977', '822', '322', '704', '633', '939', '875', '394', '454', '622', '218', '186', '223', '500', '816', '613', '381', '848', '225', '274', '173', '592', '138', '867', '640', '890']
['68', '733', '935', '396', '196', '615', '714', '582', '309', '963', '590', '32', '304', '404', '378', '662', '446', '543', '263', '415', '768', '312', '699', '521', '674', '425', '940', '778', '931', '325', '960', '436', '821', '241', '365', '646', '725', '217', '805', '974', '495', '620', '567', '200', '759', '403', '980', '59', '98', '2']
['548', '667', '16', '518', '815', '250', '346', '273', '474', '579', '213', '281', '406', '898', '998', '993', '896', '731', '972', '292', '885', '368', '559', '999', '765', '171', '730', '74', '455', '522', '397', '437', '174', '473', '574', '610', '315', '663', '167', '148', '864', '66', '24', '377', '700', '953', '907', '221', '895', '887']
['137', '150', '430', '794', '480', '441', '450', '445', '692', '934', '387', '820', '343', '298', '155', '260', '654', '261', '133', '916', '159', '469', '386', '753', '13', '866', '779', '744', '711', '7', '961', '149', '728', '412', '702', '957', '971', '350', '329', '130', '249', '321', '589', '18', '950', '29', '899', '901', '307', '318']
['740', '660', '224', '599', '382', '5', '959', '880', '554', '975', '727', '20', '628', '757', '752', '746', '97', '797', '349', '9', '617', '575', '287', '849', '840', '527', '760', '476', '869', '331', '819', '119', '183', '598', '363', '652', '294', '207', '162', '461', '438', '392', '925', '324', '106', '847', '761', '956', '344', '800']
['734', '508', '485', '8', '479', '310', '89', '689', '669', '879', '108', '766', '772', '407', '790', '417', '857', '233', '858', '112', '367', '861', '770', '539', '570', '588', '326', '943', '190', '871', '354', '165', '547', '86', '596', '997', '160', '511', '366', '985', '860', '893', '936', '683', '905', '470', '115', '265', '6', '390']
