['921', '55', '380', '545', '57', '348', '393', '611', '325', '746', '875', '189', '306', '749', '8', '672', '725', '795', '45', '681', '24', '671', '110', '133', '443', '92', '115', '346', '568', '327', '81']
['80', '254', '350', '277', '825', '150', '926', '640', '210', '590', '623', '129', '861', '581', '633', '477', '445', '886', '529', '318', '101', '282', '957', '38', '715', '11', '541', '416', '100', '95', '196']
['609', '435', '699', '659', '678', '469', '456', '391', '33', '595', '126', '736', '787', '654', '4', '578', '237', '197', '20', '902', '891', '177', '554', '114', '758', '660', '376', '44', '791', '584', '352']
['586', '79', '579', '375', '328', '514', '504', '244', '195', '694', '83', '240', '677', '377', '342', '479', '707', '457', '363', '919', '653', '700', '828', '628', '552', '941', '194', '878', '673', '750', '932']
['190', '68', '233', '645', '366', '675', '124', '415', '414', '784', '551', '367', '652', '796', '135', '96', '553', '202', '400', '880', '123', '473', '184', '61', '65', '291', '69', '383', '857', '781', '537']
['438', '852', '664', '824', '484', '723', '390', '299', '838', '535', '269', '59', '398', '738', '280', '569', '804', '308', '103', '354', '389', '224', '125', '283', '67', '168', '573', '747', '347', '324', '772']
['321', '542', '618', '773', '864', '564', '40', '689', '851', '198', '136', '556', '805', '526', '882', '46', '727', '510', '615', '146', '468', '243', '840', '260', '658', '555', '231', '676', '942', '372', '171']
['668', '319', '502', '889', '297', '523', '284', '604', '756', '802', '141', '748', '142', '665', '188', '374', '56', '721', '30', '487', '489', '708', '307', '289', '248', '515', '157', '831', '292', '356', '399']
['614', '199', '154', '793', '373', '281', '709', '149', '220', '524', '246', '667', '105', '106', '697', '60', '752', '846', '465', '871', '913', '533', '722', '661', '301', '786', '562', '313', '810', '817', '638']
['161', '73', '822', '107', '470', '775', '930', '724', '74', '951', '923', '685', '6', '806', '720', '361', '459', '850', '588', '731', '53', '155', '132', '599', '14', '816', '117', '238', '440', '466', '341']
['409', '808', '711', '441', '36', '174', '349', '853', '528', '928', '32', '93', '192', '632', '386', '404', '186', '365', '698', '488', '475', '183', '219', '639', '421', '143', '476', '933', '938', '326', '534']
