['507', '758', '461', '77', '122', '596', '567', '877', '49', '218', '847', '97', '562', '265', '24', '820', '864', '695', '948', '726']
['889', '785', '935', '236', '748', '316', '246', '968', '298', '231', '315', '717', '694', '368', '190', '862', '215', '828', '260', '520']
['444', '100', '385', '582', '798', '531', '59', '994', '358', '843', '898', '909', '224', '92', '764', '925', '26', '306', '336', '267']
['463', '136', '720', '21', '934', '794', '908', '164', '914', '987', '109', '491', '685', '767', '216', '860', '514', '634', '393', '289']
['903', '475', '17', '64', '897', '74', '978', '822', '711', '790', '226', '913', '428', '557', '449', '518', '745', '878', '467', '815']
['551', '660', '538', '431', '255', '359', '735', '607', '112', '774', '205', '471', '176', '492', '404', '917', '299', '161', '715', '465']
['599', '202', '436', '409', '846', '110', '83', '27', '558', '166', '796', '651', '274', '442', '730', '761', '6', '40', '775', '245']
['724', '874', '318', '722', '39', '523', '631', '201', '403', '718', '688', '556', '482', '657', '490', '542', '182', '553', '564', '157']
['768', '560', '799', '437', '540', '69', '901', '800', '137', '944', '619', '458', '402', '632', '680', '397', '652', '369', '532', '795']
['434', '22', '568', '335', '603', '487', '742', '563', '426', '104', '350', '743', '991', '124', '689', '257', '282', '146', '494', '902']
['552', '671', '789', '96', '448', '242', '291', '896', '71', '928', '160', '235', '459', '263', '50', '23', '719', '154', '147', '932']
['515', '757', '569', '625', '322', '850', '856', '950', '469', '668', '424', '728', '983', '354', '554', '386', '646', '753', '791', '445']
['571', '504', '156', '232', '396', '271', '292', '62', '325', '963', '173', '288', '326', '170', '374', '145', '780', '16', '91', '258']
['180', '737', '89', '346', '641', '141', '561', '588', '9', '411', '186', '53', '4', '72', '951', '392', '134', '99', '230', '612']
['114', '672', '859', '537', '618', '301', '277', '319', '541', '701', '413', '938', '488', '640', '78', '399', '806', '1', '115', '117']
['51', '893', '206', '380', '189', '647', '824', '208', '760', '751', '866', '352', '614', '816', '804', '446', '296', '349', '158', '643']
['833', '885', '575', '127', '295', '460', '704', '580', '317', '915', '782', '165', '229', '347', '713', '113', '547', '993', '375', '851']
['384', '776', '382', '666', '645', '734', '438', '654', '528', '198', '867', '697', '169', '472', '178', '193', '103', '752', '727', '927']
['312', '741', '891', '28', '425', '75', '38', '174', '30', '852', '220', '228', '48', '966', '227', '155', '416', '918', '188', '148']
['497', '907', '813', '204', '839', '512', '256', '65', '129', '872', '81', '700', '690', '579', '511', '573', '609', '362', '379', '131']
['478', '801', '812', '211', '707', '454', '320', '418', '43', '848', '10', '635', '455', '705', '46', '803', '366', '539', '432', '644']
['747', '587', '111', '419', '683', '675', '664', '581', '14', '826', '977', '781', '370', '593', '207', '967', '441', '163', '272', '364']
['611', '947', '517', '945', '470', '357', '356', '756', '787', '661', '941', '740', '300', '126', '890', '195', '566', '279', '887', '152']
['421', '834', '604', '119', '252', '811', '706', '499', '58', '825', '784', '453', '829', '125', '653', '12', '408', '702', '222', '294']
['818', '797', '676', '817', '510', '620', '922', '765', '970', '639', '76', '659', '677', '13', '555', '602', '536', '578', '894', '5']
['303', '502', '34', '906', '658', '304', '699', '880', '273', '344', '821', '594', '992', '68', '269', '744', '746', '495', '802', '598']
['88', '957', '622', '559', '892', '586', '613', '334', '779', '838', '543', '545', '212', '167', '168', '623', '309', '270', '238', '709']
['128', '171', '503', '139', '450', '486', '577', '832', '140', '649', '389', '973', '331', '732', '29', '417', '323', '7', '280', '910']
['287', '407', '307', '969', '772', '956', '105', '452', '259', '73', '638', '308', '648', '982', '340', '56', '673', '290', '739', '133']
['54', '183', '420', '912', '342', '367', '879', '519', '363', '462', '35', '628', '975', '840', '911', '191', '939', '849', '524', '988']
['954', '667', '297', '521', '33', '310', '749', '610', '584', '314', '443', '920', '353', '332', '311', '595', '181', '239', '686', '572']
['107', '121', '376', '52', '837', '249', '601', '414', '410', '55', '98', '855', '95', '565', '674', '508', '923', '79', '974', '670']
['965', '583', '841', '102', '400', '710', '810', '337', '351', '949', '435', '87', '94', '237', '999', '108', '809', '210', '11', '959']
['548', '535', '533', '952', '240', '217', '576', '698', '637', '729', '162', '522', '0', '858', '500', '489', '931', '958', '574', '371']
['733', '516', '213', '214', '427', '32', '423', '138', '175', '976', '827', '305', '372', '70', '979', '473', '61', '47', '636', '998']
['116', '223', '262', '881', '200', '530', '329', '225', '513', '483', '283', '953', '429', '456', '870', '313', '327', '244', '986', '203']
['90', '621', '736', '663', '150', '692', '662', '101', '184', '997', '509', '506', '476', '360', '20', '66', '197', '37', '135', '823']
['118', '250', '440', '886', '412', '480', '585', '373', '754', '106', '430', '481', '355', '457', '830', '597', '233', '930', '192', '900']
['550', '608', '221', '361', '650', '633', '693', '401', '769', '933', '468', '592', '268', '177', '25', '981', '942', '755', '786', '248']
