['313', '182', '393', '249', '541', '678', '36', '358', '113', '724', '553', '259', '26', '124', '152', '217', '420', '684', '326', '449', '574', '252', '670', '749', '176', '144', '121', '544', '89', '693', '108', '248', '716', '241', '271', '582', '70', '598', '663', '20', '82', '48', '230', '610', '51', '353', '658', '430', '717', '191']
['679', '645', '674', '311', '276', '491', '412', '742', '655', '172', '52', '437', '706', '389', '682', '669', '46', '339', '238', '242', '440', '135', '372', '151', '166', '310', '555', '329', '356', '747', '134', '200', '316', '323', '680', '508', '295', '43', '738', '527', '122', '215', '175', '710', '29', '697', '499', '646', '439', '228']
['615', '126', '213', '337', '253', '428', '581', '387', '0', '69', '668', '459', '676', '495', '475', '145', '66', '204', '473', '470', '391', '221', '336', '482', '73', '409', '281', '371', '19', '65', '127', '90', '75', '270', '740', '320', '32', '601', '500', '698', '170', '58', '523', '338', '532', '91', '72', '569', '657', '416']
['404', '556', '184', '622', '709', '258', '419', '179', '282', '49', '493', '560', '542', '261', '514', '106', '289', '155', '723', '609', '591', '375', '71', '268', '101', '501', '153', '287', '352', '298', '575', '7', '328', '317', '315', '251', '664', '741', '245', '129', '159', '422', '590', '216', '74', '539', '284', '40', '707', '630']
['727', '568', '214', '708', '35', '223', '148', '398', '275', '290', '442', '675', '462', '685', '613', '344', '502', '637', '18', '370', '494', '497', '446', '55', '37', '264', '161', '171', '139', '611', '226', '232', '30', '619', '102', '700', '487', '243', '233', '447', '312', '104', '468', '247', '169', '729', '333', '39', '156', '360']
['549', '340', '186', '54', '28', '608', '600', '423', '626', '192', '56', '195', '538', '450', '701', '355', '643', '324', '168', '596', '9', '632', '438', '199', '11', '185', '405', '117', '98', '76', '429', '177', '262', '254', '14', '130', '604', '624', '421', '614', '583', '325', '689', '306', '686', '359', '425', '435', '244', '17']
['739', '528', '31', '157', '726', '255', '302', '205', '731', '397', '300', '504', '454', '279', '647', '388', '366', '524', '564', '202', '730', '125', '529', '68', '88', '654', '652', '385', '576', '588', '690', '665', '401', '84', '592', '25', '2', '280', '586', '639', '525', '512', '433', '483', '15', '695', '559', '445', '593', '207']
['424', '486', '188', '309', '653', '571', '42', '432', '511', '383', '196', '143', '496', '167', '183', '373', '602', '23', '322', '737', '332', '286', '456', '220', '92', '6', '452', '712', '434', '621', '154', '142', '342', '146', '208', '417', '384', '715', '577', '479', '128', '580', '503', '296', '735', '116', '330', '599', '703', '521']
['498', '86', '59', '458', '5', '567', '415', '702', '472', '636', '510', '545', '103', '687', '382', '85', '10', '12', '509', '492', '595', '60', '465', '477', '350', '165', '162', '453', '660', '318', '57', '547', '463', '348', '194', '16', '444', '24', '178', '363', '396', '41', '552', '331', '736', '720', '285', '518', '50', '426']
['222', '603', '45', '635', '229', '488', '343', '193', '402', '699', '395', '536', '748', '537', '692', '345', '607', '263', '572', '140', '79', '565', '219', '80', '321', '38', '354', '334', '513', '63', '520', '673', '327', '111', '131', '369', '256', '362', '3', '93', '141', '260', '27', '224', '378', '299', '138', '67', '597', '651']
['392', '266', '77', '638', '236', '173', '231', '365', '64', '347', '648', '563', '543', '461', '341', '288', '110', '203', '460', '691', '441', '274', '585', '705', '269', '218', '667', '644', '381', '187', '377', '490', '551', '642', '570', '478', '198', '257', '519', '725', '293', '469', '394', '506', '534', '235', '540', '662', '627', '133']
['579', '467', '277', '413', '617', '297', '535', '584', '97', '234', '480', '414', '578', '265', '380', '163', '481', '361', '367', '745', '132', '180', '136', '314', '628', '81', '22', '190', '719', '246', '550', '225', '448', '620', '505', '728', '427', '411', '612', '408', '485', '346', '107', '526', '457', '640', '548', '304', '21', '160']
['267', '292', '149', '349', '164', '625', '558', '474', '305', '650', '273', '308', '476', '303', '278', '120', '181', '4', '587', '96', '554', '47', '732', '616', '431', '210', '123', '291', '464', '307', '403', '8', '197', '659', '407', '718', '209', '13', '484', '562', '99', '376', '418', '109', '294', '683', '33', '661', '489', '237']
['118', '115', '351', '44', '641', '516', '105', '688', '517', '515', '436', '451', '466', '746', '589', '471', '704', '189', '734', '53', '379', '618', '696', '714', '672', '566', '677', '561', '671', '211', '239', '250', '94', '374', '573', '240', '301', '531', '34', '227', '410', '399', '649', '364', '713', '733', '272', '212', '319', '406']
['368', '87', '530', '206', '78', '711', '557', '633', '390', '743', '631', '100', '119', '386', '634', '546', '629', '681', '114', '606', '443', '83', '522', '95', '147', '455', '400', '61', '158', '174', '283', '1', '623', '507', '656', '62', '112', '666', '137', '605', '335', '722', '744', '201', '694', '357', '533', '594', '150', '721']
