['781', '111', '43', '656', '691', '126', '532', '454', '469', '498', '608', '556', '331', '0', '519', '362', '290', '132', '358', '583', '513', '382', '165', '223', '552', '685', '558', '251', '548', '240', '404', '257', '563', '272', '778', '432', '779', '41', '325', '84', '135', '623', '100', '695', '229', '759', '346', '416', '754', '697']
['273', '342', '576', '624', '316', '433', '106', '199', '456', '174', '772', '241', '267', '653', '419', '721', '477', '2', '400', '756', '592', '308', '235', '526', '606', '710', '114', '640', '285', '745', '276', '622', '495', '752', '750', '699', '66', '303', '238', '112', '566', '334', '214', '44', '711', '52', '277', '186', '449', '595']
['226', '79', '601', '616', '389', '677', '216', '196', '314', '209', '744', '569', '553', '359', '188', '138', '600', '184', '536', '286', '434', '59', '175', '767', '370', '465', '589', '180', '586', '784', '698', '727', '453', '243', '139', '24', '94', '728', '770', '617', '194', '218', '178', '649', '343', '115', '12', '86', '629', '266']
['488', '254', '594', '109', '614', '396', '657', '34', '76', '689', '98', '302', '7', '796', '422', '99', '379', '268', '113', '527', '593', '568', '236', '137', '637', '661', '296', '797', '262', '460', '609', '258', '788', '234', '521', '158', '582', '371', '253', '543', '204', '142', '516', '278', '189', '794', '82', '344', '154', '415']
['157', '674', '291', '26', '452', '65', '681', '423', '407', '666', '643', '271', '10', '739', '361', '47', '448', '190', '283', '693', '564', '688', '544', '546', '724', '147', '128', '753', '71', '723', '177', '590', '572', '782', '714', '607', '722', '702', '461', '481', '486', '332', '301', '11', '733', '780', '799', '545', '424', '89']
['372', '773', '651', '639', '261', '561', '492', '774', '195', '729', '85', '366', '221', '426', '603', '263', '792', '610', '378', '365', '478', '719', '64', '103', '604', '368', '212', '726', '182', '559', '504', '570', '27', '323', '584', '441', '633', '509', '450', '61', '363', '630', '787', '468', '228', '682', '75', '57', '741', '173']
['489', '279', '162', '69', '133', '613', '58', '451', '493', '635', '146', '129', '577', '626', '758', '462', '250', '96', '134', '472', '704', '211', '293', '156', '373', '50', '793', '160', '740', '40', '703', '447', '391', '5', '354', '39', '768', '19', '191', '310', '376', '675', '219', '193', '530', '136', '206', '531', '668', '341']
['88', '288', '484', '319', '777', '650', '764', '185', '292', '54', '220', '482', '393', '529', '320', '734', '287', '328', '580', '574', '620', '181', '463', '786', '669', '315', '442', '542', '528', '392', '678', '90', '515', '692', '244', '471', '502', '239', '652', '562', '116', '663', '155', '507', '444', '755', '709', '541', '152', '356']
['124', '324', '670', '732', '769', '338', '140', '459', '483', '224', '567', '264', '446', '406', '684', '596', '795', '36', '294', '329', '466', '167', '429', '233', '575', '37', '17', '686', '1', '295', '151', '213', '45', '648', '31', '672', '522', '403', '458', '227', '63', '679', '230', '611', '485', '501', '763', '573', '68', '350']
['676', '476', '638', '352', '746', '120', '13', '539', '418', '431', '712', '141', '654', '35', '634', '771', '348', '632', '74', '282', '150', '578', '30', '300', '92', '289', '369', '730', '696', '299', '514', '168', '547', '551', '499', '4', '540', '627', '118', '439', '437', '20', '225', '386', '317', '680', '87', '311', '700', '104']
['708', '364', '306', '479', '305', '95', '621', '413', '131', '105', '701', '455', '690', '46', '117', '518', '349', '336', '340', '192', '428', '687', '29', '496', '297', '217', '398', '615', '707', '464', '143', '169', '208', '524', '97', '742', '435', '761', '166', '56', '662', '789', '790', '249', '440', '510', '587', '274', '384', '395']
['402', '605', '215', '67', '101', '270', '647', '537', '748', '309', '390', '618', '475', '322', '119', '655', '505', '538', '760', '62', '381', '42', '599', '22', '751', '14', '108', '159', '375', '597', '163', '497', '665', '565', '33', '520', '409', '694', '355', '765', '3', '725', '187', '53', '231', '367', '265', '127', '420', '255']
['73', '737', '705', '717', '557', '427', '581', '445', '333', '102', '512', '430', '397', '313', '631', '555', '298', '125', '743', '503', '171', '534', '130', '664', '357', '511', '628', '32', '148', '207', '508', '467', '28', '411', '757', '645', '776', '798', '549', '480', '374', '321', '347', '307', '533', '500', '70', '473', '387', '474']
['491', '612', '658', '408', '48', '248', '91', '414', '72', '641', '673', '399', '660', '330', '200', '490', '280', '51', '38', '269', '380', '337', '25', '246', '232', '377', '571', '304', '401', '683', '197', '405', '775', '438', '554', '619', '783', '122', '412', '417', '312', '170', '172', '736', '327', '470', '523', '149', '636', '579']
['256', '153', '242', '15', '164', '351', '247', '18', '318', '345', '77', '339', '598', '23', '791', '388', '762', '275', '93', '260', '715', '353', '161', '183', '706', '8', '625', '713', '560', '747', '198', '667', '145', '123', '55', '436', '179', '383', '716', '735', '205', '78', '237', '202', '80', '421', '335', '121', '644', '144']
['457', '550', '785', '646', '210', '642', '494', '6', '659', '222', '60', '252', '360', '83', '326', '176', '201', '535', '425', '585', '410', '671', '110', '443', '506', '525', '284', '281', '517', '385', '259', '394', '588', '107', '731', '591', '81', '487', '749', '16', '203', '21', '9', '738', '766', '49', '602', '720', '718', '245']
