['141', '84', '666', '841', '564', '817', '800', '277', '133', '536', '506', '894', '136', '560', '648', '1', '197', '623', '591', '852', '168', '130', '406', '770', '36', '825', '805', '771', '202', '64', '31', '303', '348', '683', '553', '427', '209', '158', '57', '313', '400', '276', '667', '115', '846', '539', '611', '654', '640', '147']
['481', '735', '528', '854', '49', '472', '23', '527', '309', '775', '58', '203', '412', '51', '861', '221', '345', '95', '157', '857', '291', '81', '662', '83', '730', '154', '212', '818', '842', '5', '11', '307', '366', '505', '580', '70', '195', '429', '837', '752', '641', '758', '821', '33', '786', '763', '646', '650', '208', '233']
['390', '489', '741', '300', '643', '880', '781', '248', '93', '615', '389', '773', '315', '694', '228', '546', '47', '663', '244', '251', '326', '637', '32', '604', '804', '701', '316', '601', '687', '46', '285', '268', '717', '497', '609', '361', '677', '34', '695', '794', '2', '879', '832', '207', '52', '150', '317', '432', '160', '476']
['252', '545', '80', '868', '525', '110', '297', '66', '380', '344', '838', '475', '751', '425', '44', '454', '20', '240', '176', '531', '403', '563', '588', '479', '8', '259', '451', '445', '398', '603', '222', '777', '181', '65', '272', '227', '187', '612', '836', '50', '346', '859', '215', '507', '589', '225', '378', '293', '883', '318']
['491', '442', '104', '788', '511', '760', '374', '308', '516', '75', '797', '734', '597', '755', '296', '163', '888', '474', '711', '721', '280', '407', '382', '322', '826', '441', '587', '477', '94', '688', '165', '636', '404', '740', '359', '584', '547', '656', '199', '0', '343', '494', '791', '835', '629', '616', '18', '242', '191', '214']
['885', '447', '129', '413', '352', '827', '847', '151', '651', '446', '72', '493', '328', '567', '621', '774', '354', '358', '357', '722', '685', '572', '577', '606', '419', '192', '97', '540', '795', '676', '116', '834', '598', '371', '585', '552', '815', '555', '184', '727', '660', '723', '881', '718', '355', '200', '689', '265', '372', '594']
['693', '241', '448', '864', '294', '40', '628', '610', '486', '808', '698', '514', '79', '530', '710', '822', '153', '703', '569', '7', '798', '480', '257', '801', '370', '892', '363', '223', '499', '367', '39', '875', '402', '196', '388', '756', '311', '543', '529', '697', '490', '872', '678', '716', '175', '262', '329', '218', '748', '495']
['118', '156', '865', '509', '526', '575', '376', '762', '492', '387', '440', '613', '860', '137', '30', '893', '15', '91', '784', '62', '534', '840', '282', '14', '172', '56', '305', '633', '139', '816', '274', '4', '673', '124', '873', '766', '653', '570', '503', '226', '713', '35', '524', '684', '216', '258', '386', '627', '576', '799']
['234', '699', '541', '422', '48', '596', '368', '790', '264', '602', '377', '61', '142', '574', '331', '665', '520', '504', '468', '67', '626', '439', '579', '9', '869', '659', '186', '853', '341', '292', '498', '38', '809', '655', '420', '452', '270', '92', '537', '275', '431', '632', '882', '810', '238', '896', '538', '321', '193', '53']
['754', '467', '59', '668', '796', '411', '349', '833', '98', '243', '761', '183', '103', '60', '813', '306', '288', '732', '449', '362', '692', '232', '365', '235', '674', '599', '409', '544', '473', '78', '789', '780', '283', '625', '146', '515', '364', '22', '508', '519', '483', '664', '768', '884', '113', '747', '487', '749', '707', '686']
['824', '712', '863', '107', '743', '220', '856', '185', '622', '548', '708', '488', '691', '460', '745', '334', '394', '438', '845', '631', '263', '169', '13', '155', '69', '855', '105', '269', '356', '295', '783', '166', '887', '302', '502', '76', '126', '874', '513', '583', '889', '802', '401', '237', '170', '586', '271', '769', '421', '255']
['145', '287', '342', '188', '119', '109', '542', '415', '551', '323', '700', '101', '245', '114', '278', '803', '152', '614', '375', '738', '231', '635', '870', '639', '396', '671', '725', '482', '281', '898', '820', '522', '417', '336', '144', '279', '559', '464', '21', '45', '120', '164', '510', '647', '381', '658', '753', '385', '260', '851']
['301', '128', '866', '523', '726', '339', '414', '54', '180', '149', '399', '843', '776', '324', '19', '619', '897', '379', '391', '500', '595', '782', '125', '455', '135', '430', '608', '675', '333', '330', '230', '426', '340', '649', '410', '858', '198', '457', '127', '573', '90', '250', '82', '443', '787', '819', '706', '436', '521', '463']
['600', '206', '131', '562', '465', '886', '571', '229', '249', '877', '254', '444', '871', '246', '174', '807', '369', '593', '99', '138', '565', '327', '123', '496', '194', '778', '638', '397', '27', '811', '731', '829', '605', '108', '850', '261', '162', '823', '561', '298', '681', '634', '210', '347', '29', '607', '171', '239', '624', '696']
['737', '204', '418', '895', '848', '148', '312', '736', '765', '450', '435', '792', '690', '111', '704', '557', '831', '757', '645', '466', '720', '532', '338', '458', '314', '28', '715', '556', '112', '143', '785', '236', '319', '719', '549', '17', '471', '201', '767', '373', '759', '581', '273', '43', '814', '620', '217', '478', '161', '830']
['456', '55', '395', '73', '806', '42', '469', '405', '3', '661', '219', '167', '16', '642', '26', '890', '764', '679', '862', '733', '351', '714', '310', '335', '739', '670', '746', '709', '41', '63', '682', '88', '828', '132', '839', '533', '299', '592', '178', '267', '122', '256', '360', '657', '566', '891', '71', '535', '25', '290']
['434', '134', '304', '680', '867', '37', '485', '100', '793', '266', '669', '179', '518', '582', '173', '337', '74', '190', '416', '453', '253', '213', '899', '247', '618', '876', '568', '77', '182', '205', '284', '286', '672', '325', '652', '332', '384', '772', '6', '350', '729', '68', '392', '102', '189', '702', '117', '89', '353', '812']
['121', '554', '470', '437', '779', '844', '550', '85', '461', '87', '433', '12', '728', '590', '428', '849', '501', '578', '744', '423', '705', '86', '408', '159', '224', '462', '320', '96', '289', '106', '140', '742', '484', '393', '177', '617', '512', '24', '724', '383', '630', '211', '878', '424', '517', '644', '459', '750', '10', '558']
[]
[]
