['774', '818', '720', '368', '390', '605', '916', '411', '827', '541', '354', '296', '936', '407', '402', '629', '238', '356', '684', '535', '243', '291', '564', '926', '984', '536', '791', '94', '468', '349', '85', '670', '301', '959', '175', '44', '783', '624', '867', '654', '98', '416', '868', '939', '370', '964', '320', '446', '487', '918']
['756', '782', '515', '1', '473', '935', '547', '746', '223', '901', '609', '795', '90', '107', '660', '587', '469', '23', '910', '728', '824', '575', '377', '766', '511', '280', '727', '36', '513', '520', '843', '312', '271', '6', '848', '537', '667', '619', '522', '891', '331', '532', '730', '184', '942', '203', '393', '475', '42', '992']
['211', '137', '549', '687', '976', '250', '177', '340', '78', '778', '832', '531', '229', '702', '396', '724', '734', '73', '985', '971', '508', '840', '649', '897', '4', '845', '835', '64', '800', '187', '739', '838', '80', '996', '568', '671', '483', '478', '123', '443', '577', '628', '695', '16', '826', '262', '652', '325', '540', '345']
['141', '274', '503', '604', '225', '648', '188', '195', '682', '602', '9', '20', '775', '404', '317', '612', '328', '831', '977', '745', '760', '810', '164', '657', '162', '924', '650', '888', '201', '731', '397', '116', '57', '582', '789', '387', '870', '25', '437', '982', '429', '281', '617', '436', '53', '302', '740', '144', '316', '245']
['181', '580', '216', '607', '272', '980', '967', '919', '218', '231', '204', '674', '66', '355', '545', '683', '259', '823', '100', '286', '673', '989', '338', '717', '335', '205', '492', '34', '762', '963', '958', '697', '448', '394', '698', '751', '14', '957', '297', '29', '962', '197', '620', '415', '796', '539', '51', '883', '372', '894']
['597', '489', '358', '960', '127', '258', '430', '688', '600', '991', '172', '771', '152', '707', '927', '842', '819', '747', '581', '208', '455', '703', '84', '813', '862', '403', '452', '656', '548', '77', '574', '946', '190', '477', '346', '786', '277', '510', '460', '640', '555', '816', '157', '825', '777', '288', '314', '638', '376', '516']
['61', '925', '359', '693', '138', '521', '664', '743', '658', '961', '858', '705', '449', '336', '169', '192', '567', '306', '273', '22', '527', '350', '213', '186', '71', '637', '289', '276', '892', '357', '343', '501', '911', '332', '625', '257', '706', '907', '414', '342', '156', '33', '268', '514', '111', '921', '807', '701', '267', '898']
['565', '410', '382', '337', '709', '809', '663', '251', '847', '196', '559', '418', '948', '533', '615', '178', '738', '653', '438', '247', '39', '292', '994', '981', '922', '290', '525', '344', '692', '305', '699', '866', '639', '721', '454', '86', '758', '32', '884', '461', '339', '591', '2', '185', '817', '150', '821', '115', '641', '379']
['787', '627', '266', '686', '678', '140', '3', '997', '893', '134', '428', '315', '17', '970', '386', '239', '769', '341', '114', '874', '113', '913', '209', '781', '680', '75', '583', '685', '420', '830', '988', '99', '424', '776', '986', '248', '68', '793', '38', '327', '903', '60', '309', '364', '704', '491', '722', '846', '512', '885']
['451', '763', '973', '311', '102', '974', '895', '646', '856', '91', '655', '896', '802', '576', '507', '299', '608', '887', '643', '983', '131', '995', '556', '92', '308', '606', '405', '62', '425', '975', '154', '592', '232', '943', '560', '381', '647', '873', '498', '412', '662', '872', '833', '119', '287', '406', '374', '495', '200', '920']
['772', '914', '147', '622', '391', '261', '46', '353', '47', '167', '464', '834', '398', '765', '598', '161', '5', '310', '928', '124', '618', '392', '265', '246', '899', '298', '785', '937', '759', '621', '829', '557', '761', '733', '155', '330', '808', '737', '67', '768', '689', '19', '950', '955', '423', '603', '293', '595', '117', '270']
['940', '815', '930', '572', '505', '148', '635', '295', '890', '578', '400', '633', '233', '661', '63', '519', '594', '736', '388', '121', '850', '18', '509', '855', '978', '713', '947', '125', '506', '160', '651', '453', '480', '797', '433', '373', '631', '79', '933', '471', '932', '249', '876', '528', '83', '780', '149', '191', '853', '805']
['820', '126', '221', '435', '906', '860', '500', '752', '801', '470', '135', '263', '130', '462', '690', '584', '275', '630', '634', '170', '679', '908', '432', '362', '854', '725', '440', '199', '212', '142', '755', '544', '13', '905', '552', '718', '715', '558', '696', '15', '465', '965', '799', '282', '21', '378', '304', '546', '352', '235']
['912', '59', '859', '569', '43', '534', '790', '482', '450', '836', '476', '590', '300', '89', '132', '260', '479', '118', '88', '611', '614', '550', '563', '770', '990', '457', '742', '869', '538', '517', '55', '798', '767', '665', '909', '804', '202', '839', '749', '773', '165', '750', '37', '321', '214', '987', '954', '723', '553', '122']
