['723', '154', '238', '976', '890', '158', '716', '906', '729', '438', '943', '776', '383', '322', '539', '82', '709', '254', '225', '606', '561', '925', '105', '846', '759', '526', '643', '455', '459', '734', '316', '365']
['678', '505', '487', '948', '297', '677', '339', '952', '775', '377', '622', '374', '555', '209', '803', '819', '92', '384', '76', '450', '824', '62', '116', '577', '702', '256', '194', '831', '947', '830', '188', '933']
['727', '881', '456', '992', '102', '458', '660', '482', '918', '109', '620', '849', '666', '315', '764', '750', '233', '706', '412', '2', '472', '737', '915', '71', '773', '615', '253', '180', '848', '90', '940', '647']
['696', '327', '101', '93', '251', '832', '784', '445', '343', '575', '55', '420', '681', '974', '467', '477', '523', '226', '676', '164', '87', '202', '913', '548', '296', '935', '432', '480', '176', '146', '280', '417']
['568', '126', '581', '818', '564', '786', '314', '388', '982', '410', '855', '571', '854', '145', '617', '850', '212', '730', '415', '753', '453', '309', '247', '977', '17', '239', '284', '752', '521', '508', '312', '946']
['435', '778', '715', '984', '618', '810', '304', '573', '99', '682', '790', '0', '266', '3', '231', '860', '443', '868', '961', '544', '240', '423', '340', '949', '970', '368', '267', '252', '602', '134', '708', '336']
['774', '552', '208', '232', '394', '932', '531', '113', '214', '632', '401', '559', '178', '152', '704', '300', '428', '347', '894', '612', '282', '792', '687', '528', '356', '283', '457', '98', '380', '797', '462', '758']
['42', '23', '59', '330', '540', '169', '119', '97', '5', '268', '845', '318', '527', '148', '917', '628', '179', '852', '794', '889', '851', '220', '21', '224', '63', '142', '86', '422', '957', '909', '923', '873']
['452', '96', '623', '385', '426', '465', '197', '954', '504', '596', '227', '329', '898', '373', '701', '541', '579', '124', '293', '780', '649', '88', '769', '132', '967', '880', '28', '84', '744', '70', '216', '885']
['69', '912', '199', '121', '631', '971', '514', '580', '276', '149', '350', '625', '245', '997', '721', '129', '955', '670', '344', '130', '434', '44', '921', '951', '80', '332', '907', '444', '259', '629', '177', '34']
['320', '265', '287', '393', '869', '731', '847', '871', '501', '827', '908', '446', '839', '732', '998', '411', '653', '903', '806', '230', '624', '725', '159', '897', '592', '221', '823', '695', '15', '719', '295', '927']
['717', '351', '862', '978', '515', '563', '10', '745', '138', '222', '887', '464', '433', '711', '966', '603', '963', '904', '941', '743', '20', '495', '337', '707', '362', '38', '599', '473', '40', '32', '345', '235']
['650', '648', '264', '396', '821', '8', '206', '234', '127', '583', '867', '75', '874', '680', '170', '308', '66', '662', '763', '273', '237', '816', '728', '576', '78', '973', '213', '13', '945', '772', '690', '184']
['574', '7', '793', '475', '882', '554', '590', '627', '449', '168', '980', '342', '131', '261', '962', '204', '883', '924', '56', '553', '689', '141', '959', '739', '570', '399', '635', '703', '364', '198', '171', '270']
['291', '896', '217', '805', '223', '392', '79', '637', '255', '760', '298', '608', '488', '51', '633', '516', '668', '956', '613', '893', '842', '100', '382', '205', '826', '991', '705', '64', '522', '679', '162', '747']
