['340', '125', '19', '498', '467', '111', '239', '421', '478', '218', '54', '391', '68', '258', '385', '266', '315', '320', '406', '368', '479', '106', '48']
['390', '0', '29', '326', '175', '436', '94', '36', '40', '352', '253', '439', '262', '126', '149', '482', '444', '147', '338', '118', '417', '108', '378']
['470', '167', '294', '209', '228', '403', '182', '154', '279', '465', '373', '11', '42', '356', '242', '365', '227', '477', '77', '234', '276', '179', '420']
['463', '170', '120', '63', '426', '442', '370', '152', '342', '265', '257', '14', '139', '213', '91', '207', '72', '298', '389', '168', '87', '347', '260']
['309', '117', '459', '121', '142', '13', '119', '157', '413', '7', '82', '483', '41', '344', '241', '267', '116', '70', '160', '33', '312', '90', '2']
['79', '464', '45', '372', '379', '122', '377', '364', '9', '422', '288', '183', '60', '236', '336', '215', '345', '17', '480', '376', '398', '73', '185']
['332', '353', '127', '243', '196', '6', '52', '238', '269', '313', '97', '56', '44', '156', '343', '437', '428', '284', '223', '190', '416', '186', '231']
['307', '26', '407', '31', '153', '247', '143', '393', '397', '59', '146', '171', '222', '95', '251', '37', '193', '271', '484', '244', '331', '311', '402']
['256', '180', '166', '404', '176', '93', '369', '75', '476', '255', '474', '50', '123', '178', '469', '455', '351', '217', '69', '301', '491', '261', '395']
['321', '424', '219', '290', '229', '21', '130', '220', '113', '187', '161', '58', '382', '443', '383', '20', '392', '57', '195', '226', '55', '136', '285']
['225', '475', '211', '49', '80', '162', '438', '492', '300', '159', '412', '61', '319', '472', '481', '357', '488', '348', '429', '172', '454', '188', '191']
['115', '67', '273', '194', '264', '140', '456', '405', '333', '25', '359', '339', '346', '350', '329', '3', '494', '497', '240', '367', '250', '144', '98']
['460', '499', '360', '297', '374', '10', '177', '47', '197', '384', '408', '487', '289', '296', '399', '192', '272', '233', '308', '248', '8', '381', '155']
['53', '295', '496', '425', '124', '1', '314', '400', '396', '305', '202', '102', '446', '435', '361', '341', '163', '304', '107', '327', '387', '27', '104']
['112', '433', '132', '375', '324', '129', '445', '427', '292', '259', '74', '434', '349', '51', '440', '323', '109', '355', '302', '330', '23', '84', '249']
['201', '363', '181', '270', '450', '366', '81', '337', '245', '291', '78', '299', '419', '232', '471', '418', '15', '358', '221', '66', '65', '5', '316']
['38', '138', '101', '495', '318', '431', '287', '252', '282', '184', '34', '303', '457', '164', '198', '317', '88', '131', '22', '133', '145', '174', '151']
['371', '461', '105', '32', '35', '280', '410', '30', '415', '12', '466', '76', '89', '150', '401', '205', '283', '430', '328', '411', '216', '203', '473']
['173', '268', '293', '453', '441', '230', '62', '409', '468', '486', '354', '254', '448', '386', '39', '388', '169', '380', '135', '335', '100', '43', '447']
['362', '286', '99', '235', '414', '334', '462', '148', '212', '306', '458', '277', '237', '451', '423', '489', '137', '46', '432', '274', '394', '452', '278']
['128', '208', '485', '64', '92', '96', '4', '206', '85', '199', '490', '449', '200', '246', '493', '214', '114', '275', '322', '204', '263', '281', '224']
['210', '16', '103', '134', '18', '158', '83', '165', '24', '189', '71', '86', '325', '310', '141', '28']
['110']
