['461', '370', '135', '481', '200']
['323', '354', '119', '373', '170']
['173', '131', '362', '292', '344']
['334', '324', '133', '429', '32']
['113', '143', '251', '220', '187']
['325', '409', '237', '381', '82']
['252', '281', '39', '213', '47']
['318', '216', '304', '380', '284']
['358', '204', '181', '343', '399']
['33', '29', '147', '283', '424']
['96', '435', '62', '479', '171']
['385', '28', '316', '26', '145']
['13', '123', '477', '313', '351']
['102', '100', '389', '165', '436']
['393', '57', '346', '4', '315']
['407', '499', '63', '404', '55']
['182', '426', '155', '483', '361']
['421', '356', '487', '266', '454']
['270', '22', '233', '337', '329']
['65', '326', '473', '36', '248']
['449', '211', '203', '80', '428']
['272', '67', '357', '160', '335']
['209', '75', '246', '441', '217']
['490', '114', '106', '20', '18']
['31', '412', '98', '52', '303']
['64', '298', '470', '431', '40']
['366', '166', '451', '84', '349']
['386', '245', '45', '405', '452']
['192', '286', '416', '73', '310']
['485', '186', '338', '277', '401']
['206', '94', '496', '365', '467']
['226', '138', '320', '476', '188']
['403', '413', '122', '105', '289']
['317', '164', '342', '472', '8']
['471', '448', '255', '72', '388']
['146', '218', '74', '126', '235']
['44', '422', '77', '139', '60']
['179', '447', '359', '58', '17']
['254', '430', '50', '0', '175']
['88', '136', '6', '27', '91']
['494', '83', '493', '242', '61']
['174', '190', '434', '207', '163']
['244', '383', '353', '330', '222']
['484', '121', '161', '10', '219']
['258', '311', '43', '419', '167']
['312', '194', '183', '372', '263']
['264', '360', '395', '290', '24']
['210', '69', '261', '108', '482']
['232', '444', '157', '332', '21']
['498', '104', '253', '465', '148']
['257', '418', '306', '169', '172']
['321', '400', '184', '208', '110']
['268', '81', '488', '198', '103']
['158', '491', '142', '374', '299']
['229', '443', '78', '54', '46']
['341', '296', '340', '92', '314']
['49', '300', '224', '378', '249']
['56', '19', '376', '348', '130']
['177', '478', '259', '23', '417']
['151', '53', '308', '453', '129']
['223', '397', '462', '212', '153']
['118', '469', '285', '144', '189']
['37', '35', '59', '382', '9']
['202', '76', '408', '280', '134']
['79', '107', '199', '319', '236']
['41', '201', '331', '154', '95']
['124', '423', '221', '456', '68']
['265', '355', '309', '14', '87']
['377', '446', '243', '350', '205']
['327', '414', '185', '109', '195']
['295', '406', '468', '162', '459']
['152', '42', '371', '420', '302']
['275', '115', '85', '101', '396']
['294', '214', '178', '38', '66']
['228', '433', '387', '193', '11']
['411', '345', '489', '455', '339']
['240', '234', '215', '369', '486']
['352', '458', '256', '432', '322']
['438', '474', '276', '5', '398']
['196', '238', '291', '440', '15']
['297', '140', '437', '347', '364']
['410', '127', '402', '227', '274']
['463', '116', '168', '464', '269']
['112', '132', '427', '48', '375']
['117', '225', '425', '12', '497']
['267', '442', '457', '141', '466']
['7', '191', '3', '137', '86']
['279', '333', '307', '247', '450']
['176', '30', '231', '34', '301']
['111', '128', '180', '70', '149']
['239', '415', '197', '260', '156']
['93', '328', '495', '379', '2']
['89', '150', '367', '460', '282']
['120', '99', '230', '25', '271']
['390', '71', '1', '90', '391']
['305', '293', '336', '384', '392']
['241', '439', '480', '16', '492']
['394', '262', '278', '475', '368']
['363', '445', '97', '250', '273']
['51', '287', '288', '159', '125']
