['149', '462', '444', '186', '116', '395', '447', '354', '131', '499', '34', '146', '220', '13', '121', '138', '391', '473', '2', '147', '126', '361', '464']
['483', '214', '409', '335', '36', '125', '90', '8', '16', '103', '480', '176', '385', '446', '187', '269', '331', '215', '31', '308', '199', '305', '83']
['310', '52', '144', '192', '435', '12', '482', '467', '493', '224', '201', '261', '426', '477', '33', '277', '204', '258', '490', '156', '173', '86', '110']
['78', '359', '1', '208', '190', '455', '373', '194', '316', '185', '315', '57', '175', '255', '195', '134', '3', '275', '340', '256', '115', '481', '40']
['430', '177', '438', '452', '198', '136', '496', '384', '98', '383', '64', '49', '486', '369', '314', '454', '471', '246', '368', '415', '325', '343', '223']
['207', '181', '48', '311', '398', '479', '459', '303', '19', '164', '401', '46', '495', '91', '26', '249', '357', '10', '274', '205', '432', '266', '364']
['155', '402', '392', '211', '236', '92', '210', '240', '94', '465', '62', '232', '492', '226', '143', '371', '387', '167', '400', '299', '461', '478', '302']
['109', '393', '257', '355', '58', '428', '416', '122', '254', '71', '374', '429', '330', '489', '196', '281', '445', '166', '363', '421', '285', '319', '250']
['450', '323', '407', '403', '347', '326', '436', '38', '21', '184', '382', '39', '112', '458', '417', '227', '344', '93', '217', '287', '418', '140', '338']
['77', '295', '169', '463', '141', '378', '179', '404', '157', '390', '219', '47', '106', '23', '327', '197', '100', '212', '487', '278', '468', '41', '130']
['346', '127', '59', '9', '420', '353', '56', '145', '68', '180', '70', '321', '87', '337', '53', '119', '120', '55', '24', '297', '301', '150', '148']
['313', '497', '441', '345', '494', '75', '137', '413', '286', '306', '328', '317', '237', '18', '251', '366', '296', '15', '262', '312', '304', '351', '17']
['42', '498', '216', '241', '292', '388', '20', '6', '102', '231', '132', '117', '443', '104', '440', '89', '405', '451', '360', '183', '158', '222', '99']
['307', '170', '396', '488', '437', '72', '406', '242', '259', '129', '96', '202', '248', '85', '67', '233', '230', '25', '375', '377', '124', '380', '37']
['108', '171', '163', '362', '161', '289', '273', '268', '43', '280', '309', '88', '298', '470', '442', '0', '101', '11', '332', '45', '172', '389', '365']
['350', '260', '80', '449', '5', '424', '203', '293', '97', '160', '476', '239', '460', '74', '243', '288', '271', '341', '7', '457', '352', '263', '448']
['381', '133', '376', '244', '411', '114', '123', '153', '178', '431', '283', '200', '213', '151', '399', '152', '54', '322', '276', '44', '336', '291', '191']
['491', '22', '267', '27', '329', '218', '484', '466', '453', '228', '162', '50', '66', '118', '270', '63', '394', '60', '342', '472', '253', '238', '379']
['113', '61', '81', '128', '95', '265', '469', '234', '247', '439', '79', '425', '209', '174', '142', '397', '282', '225', '294', '32', '73', '111', '272']
['154', '367', '107', '245', '333', '193', '284', '358', '433', '69', '372', '456', '300', '189', '235', '434', '182', '386', '65', '4', '370', '135', '474']
['410', '419', '229', '76', '422', '252', '159', '188', '348', '318', '105', '168', '334', '485', '28', '290', '165', '30', '35', '82', '414', '339', '412']
['475', '84', '221', '14', '51', '324', '349', '356', '320', '29', '423', '206', '427', '408', '279', '264', '139']
