['215', '189', '88', '106', '134', '7', '396', '247', '180', '366', '15', '154', '205', '338', '6', '137', '347', '206', '18', '125']
['217', '286', '46', '115', '208', '86', '319', '188', '68', '337', '220', '369', '110', '190', '201', '263', '320', '298', '371', '37']
['160', '87', '367', '38', '50', '271', '243', '202', '118', '321', '387', '328', '175', '39', '0', '345', '40', '102', '267', '104']
['397', '305', '249', '342', '351', '357', '211', '5', '316', '105', '236', '272', '265', '141', '25', '377', '361', '165', '32', '152']
['276', '280', '311', '373', '60', '219', '258', '181', '284', '82', '36', '353', '140', '144', '245', '98', '300', '376', '47', '257']
['261', '331', '260', '76', '139', '120', '12', '61', '327', '324', '91', '223', '333', '182', '177', '309', '240', '111', '355', '214']
['103', '270', '216', '386', '235', '227', '392', '96', '14', '329', '289', '350', '129', '275', '299', '297', '167', '53', '363', '375']
['147', '73', '301', '145', '159', '100', '158', '246', '291', '194', '268', '52', '49', '199', '296', '212', '42', '162', '128', '3']
['136', '81', '378', '48', '273', '11', '8', '33', '133', '231', '197', '13', '54', '210', '251', '343', '209', '84', '29', '352']
['94', '178', '107', '143', '374', '58', '207', '149', '97', '340', '59', '130', '116', '230', '335', '277', '101', '221', '304', '75']
['385', '358', '253', '256', '225', '279', '93', '323', '41', '157', '146', '303', '349', '55', '30', '153', '187', '322', '51', '1']
['69', '312', '2', '131', '31', '229', '138', '132', '250', '24', '64', '168', '117', '307', '72', '85', '172', '372', '222', '17']
['166', '4', '232', '203', '108', '28', '288', '74', '390', '151', '198', '113', '295', '21', '388', '65', '90', '35', '183', '325']
['226', '292', '83', '383', '239', '224', '70', '200', '254', '67', '356', '142', '285', '274', '57', '114', '365', '237', '112', '336']
['290', '339', '330', '26', '185', '302', '344', '332', '234', '293', '334', '123', '262', '186', '89', '78', '169', '395', '391', '399']
['79', '45', '238', '135', '398', '379', '95', '282', '283', '255', '191', '121', '269', '394', '252', '228', '127', '310', '192', '315']
['63', '163', '359', '156', '313', '34', '124', '150', '384', '22', '43', '362', '306', '341', '23', '213', '173', '109', '278', '266']
['176', '287', '242', '346', '264', '44', '381', '241', '314', '368', '281', '92', '248', '195', '16', '348', '184', '99', '233', '308']
['161', '62', '244', '80', '119', '170', '164', '393', '27', '326', '364', '193', '318', '20', '56', '19', '382', '179', '196', '218']
['10', '155', '66', '354', '259', '77', '122', '126', '389', '148', '9', '174', '360', '294', '71', '171', '370', '317', '204', '380']
