['33', '0', '10', '11', '12']
['307', '14', '25', '26', '27']
['429', '28', '29', '30', '40']
['485', '41', '44', '45', '55']
['498', '56', '57', '58', '98']
['251', '239', '200', '173', '334']
['356', '38', '288', '345', '459']
['425', '364', '16', '196', '283']
['119', '286', '321', '362', '411']
['82', '413', '99', '118', '463']
['171', '478', '20', '121', '150']
['365', '294', '73', '122', '144']
['258', '148', '205', '214', '272']
['221', '421', '65', '116', '241']
['218', '31', '48', '49', '396']
['385', '217', '93', '105', '248']
['371', '166', '180', '215', '3']
['331', '72', '266', '359', '444']
['487', '472', '489', '491', '23']
['390', '81', '103', '201', '114']
['192', '133', '355', '305', '238']
['255', '159', '349', '79', '315']
['240', '354', '358', '247', '146']
['327', '456', '481', '357', '1']
['372', '4', '6', '8', '17']
['407', '21', '32', '35', '37']
['300', '46', '51', '53', '60']
['281', '62', '66', '68', '71']
['329', '75', '77', '80', '84']
['262', '89', '91', '94', '96']
['412', '100', '104', '108', '111']
['408', '113', '120', '124', '126']
['245', '128', '134', '136', '140']
['361', '142', '145', '151', '153']
['319', '155', '157', '162', '165']
['233', '168', '170', '174', '177']
['15', '179', '183', '185', '187']
['50', '190', '193', '195', '198']
['86', '203', '206', '210', '212']
['139', '216', '220', '223', '225']
['344', '227', '230', '234', '237']
['88', '243', '250', '254', '257']
['423', '260', '263', '265', '269']
['110', '271', '274', '277', '279']
['232', '284', '287', '290', '292']
['318', '295', '297', '299', '304']
['460', '308', '310', '313', '317']
['209', '323', '325', '328', '332']
['490', '335', '337', '340', '347']
['208', '350', '353', '363', '367']
['69', '370', '374', '376', '378']
['13', '380', '382', '384', '387']
['87', '391', '393', '395', '398']
['268', '400', '402', '404', '406']
['312', '410', '415', '417', '419']
['316', '422', '426', '428', '433']
['320', '435', '437', '440', '443']
['432', '447', '449', '451', '453']
['301', '455', '458', '462', '465']
['244', '467', '469', '471', '474']
['131', '479', '482', '484', '488']
['431', '493', '495', '497', '2']
['106', '7', '19', '34', '39']
['63', '52', '61', '67', '74']
['160', '78', '85', '92', '97']
['163', '107', '112', '123', '127']
['389', '135', '141', '147', '154']
['369', '158', '167', '172', '178']
['476', '184', '188', '194', '199']
['202', '207', '213', '222', '226']
['341', '231', '242', '252', '259']
['446', '264', '270', '275', '282']
['115', '289', '293', '298', '306']
['102', '311', '322', '326', '333']
['441', '339', '348', '360', '368']
['43', '375', '379', '383', '388']
['343', '394', '399', '403', '409']
['280', '416', '420', '427', '434']
['235', '439', '445', '450', '454']
['129', '461', '466', '470', '475']
['24', '483', '492', '496', '5']
['175', '22', '47', '64', '76']
['189', '90', '101', '117', '130']
['182', '143', '156', '169', '181']
['438', '191', '204', '219', '228']
['229', '246', '261', '273', '285']
['59', '296', '309', '324', '336']
['346', '351', '373', '381', '392']
['253', '401', '414', '424', '436']
['477', '448', '457', '468', '480']
['249', '494', '9', '54', '83']
['149', '109', '138', '164', '186']
['276', '211', '236', '267', '291']
['303', '314', '342', '377', '397']
['18', '418', '442', '464', '486']
['352', '36', '95', '152', '197']
['338', '256', '302', '366', '405']
['137', '452', '499', '70', '176']
['161', '278', '386', '473', '125']
['132', '330', '224', '430']
['42']
